,,2021 年,2022 年,2021 年,2022 年,2021 年,2022 年
吉布提,DJ,0,1,2,0,6,6
丹麦,DK,2407,2383,1791,1631,17905,18997
多米尼克,DM,4,0,0,2,19,21
多米尼加,DO,38,33,31,27,205,232
阿尔及利亚,DZ,21,46,43,7,264,262
厄瓜多尔,EC,38,23,38,29,238,264
爱沙尼亚,EE,158,139,111,94,748,814
埃及,EG,167,214,120,141,923,1034
厄立特里亚,ER,2,0,0,0,2,2
西班牙,ES,2934,2570,2070,1957,25320,25964
埃塞俄比亚,ET,8,8,2,8,28,35
芬兰,FI,1781,1290,1390,1180,14534,15025
斐济,FJ,2,3,8,1,64,64
法国,FR,10696,10109,7638,7677,113100,116242
加蓬,GA,0,0,0,0,1,1
英国,GB,23762,17583,20312,15291,134458,145578
格林纳达,GD,6,1,3,0,10,10
格鲁吉亚,GE,44,19,26,14,233,239
根西岛,GG,5,60,5,44,74,112
加纳,GH,14,20,10,10,61,67
直布罗陀,GI,16,11,14,8,167,156
格陵兰,GL,0,0,2,0,6,6
冈比亚,GM,0,0,0,0,4,4
几内亚,GN,8,10,0,12,55,68
赤道几内亚,GQ,0,0,1,0,2,2
希腊,GR,163,176,137,103,1732,1736
危地马拉,GT,23,18,8,20,104,124
几内亚比绍,GW,1,0,0,1,1,2
圭亚那,GY,1,0,2,0,15,15
洪都拉斯,HN,5,1,3,6,12,18
克罗地亚,HR,56,112,27,50,408,435
海地,HT,0,0,2,0,32,32
匈牙利,HU,207,131,164,135,1620,1689
印度尼西亚,ID,748,451,582,478,4956,5350
爱尔兰,IE,1114,768,746,707,6236,6825
以色列,IL,920,894,611,656,5286,5814
马恩岛,IM,25,27,47,29,1325,1209
印度,IN,664,727,549,511,4947,5321
伊拉克,IQ,482,370,227,292,1388,1636
伊朗,IR,190,325,198,135,1978,2020
冰岛,IS,95,56,69,36,785,780
意大利,IT,8323,6854,6125,5806,85806,88101
泽西岛,JE,86,40,39,48,367,400
牙买加,JM,5,9,7,6,65,64
约旦,JO,131,89,74,53,518,552
日本,JP,30393,24426,25082,22138,254325,268065
肯尼亚,KE,12,10,17,6,152,151
吉尔吉斯斯坦,KG,18,25,10,11,97,113
柬埔寨,KH,36,21,41,12,180,189
科摩罗,KM,0,1,0,0,0,0
圣基茨和尼维斯,KN,1,0,2,0,35,33
朝鲜,KP,73,50,50,79,216,291
韩国,KR,18332,14783,14910,12776,125690,135300
科威特,KW,38,108,16,48,285,324
开曼群岛,KY,1864,2261,1955,1595,29787,31007
哈萨克斯坦,KZ,129,137,112,82,838,891
老挝,LA,3,107,3,30,27,56
黎巴嫩,LB,82,91,37,57,518,562
圣卢西亚,LC,6,2,1,5,15,20
列支敦士登,LI,124,152,86,131,2663,2754
斯里兰卡,LK,70,12,50,30,347,374
利比里亚,LR,5,10,3,7,23,28
立陶宛,LT,248,87,147,130,820,946
卢森堡,LU,694,643,523,355,8911,8434
拉脱维亚,LV,50,86,71,51,480,500
利比亚,LY,45,84,33,50,141,186
摩洛哥,MA,83,660,35,44,671,683
摩纳哥,MC,158,136,177,87,2136,2052
摩尔多瓦,MD,54,73,27,69,273,333
黑山,ME,2,2,1,1,46,46
马达加斯加,MG,0,7,1,0,40,37
马绍尔群岛,MH,119,56,119,79,970,969
北马其顿,MK,11,13,7,11,99,81
马里,ML,33,10,12,14,100,104
缅甸,MM,123,53,159,65,545,601
蒙古,MN,27,36,18,15,166,180
北马里亚纳群岛,MP,0,9,2,2,5,7
毛里塔尼亚,MR,0,0,2,0,22,19
蒙塞拉特岛,MS,0,0,0,0,2,2
马耳他,MT,131,240,93,94,1361,1447
毛里求斯,MU,56,40,117,51,745,771
马尔代夫,MV,2,32,6,11,19,30
马拉维,MW,0,1,1,0,6,6
墨西哥,MX,461,453,276,364,4812,5049
马来西亚,MY,2054,1451,1556,1293,12747,13762
莫桑比克,MZ,12,3,11,9,36,33
纳米比亚,,7,2,1,5,60,63
尼日尔,NE,0,5,0,1,12,13
尼日利亚,NG,66,36,54,21,322,332
尼加拉瓜,NI,0,3,0,0,9,9
荷兰,NL,3784,3598,3150,3016,37192,39962
挪威,NO,1122,851,698,670,5926,6402
尼泊尔,NP,30,14,5,14,94,104
瑙鲁,NR,0,0,0,0,4,4
新西兰,NZ,1798,1496,1477,1219,13110,13863
阿曼,OM,18,6,33,13,209,221
巴拿马,PA,140,75,77,96,748,816
秘鲁,PE,47,87,69,33,456,465
波利尼西亚,PF,1,0,0,1,7,7
巴布亚新几内亚,PG,0,2,1,0,39,33
菲律宾,PH,205,198,173,147,1545,1647
巴基斯坦,PK,132,106,66,85,789,858
波兰,PL,1261,841,845,697,6575,7050
巴勒斯坦,PS,7,1,7,3,27,30
葡萄牙,PT,334,228,250,188,3206,3256
帕劳,PW,0,0,0,0,20,19
巴拉圭,PY,10,29,5,16,71,85
卡塔尔,QA,295,85,39,94,379,471
罗马尼亚,RO,165,74,67,119,872,934
塞尔维亚,RS,158,64,110,42,493,520
俄罗斯,RU,2503,2635,1959,1634,20676,21234
卢旺达,RW,0,0,0,0,5,5
沙特阿拉伯,SA,207,287,114,116,1137,1216
所罗门群岛,SB,0,0,0,0,2,2
塞舌尔,SC,870,494,834,585,5163,5521
苏丹,SD,4,8,16,6,126,131
瑞典,SE,3626,2959,2396,2432,22099,23821
新加坡,SG,9279,6536,4669,6781,36075,42684
斯洛文尼亚,SI,199,220,171,127,1439,1517
斯洛伐克,SK,74,181,45,114,1084,1185
塞拉利昂,SL,4,0,4,0,18,18
圣马力诺,SM,19,38,23,9,231,229
塞内加尔,SN,7,6,5,3,62,64
索马里,SO,0,0,1,1,5,6
苏里南,SR,1,0,0,1,1,3
南苏丹,SS,0,1,1,0,1,1
萨尔瓦多,SV,2,3,9,4,27,31
荷属圣马丁,SX,0,0,0,0,1,0
叙利亚,SY,93,107,86,66,496,529
特克斯和凯科斯群岛,TC,4,24,5,5,58,55
乍得,TD,3,0,2,0,18,18
多哥,TG,3,1,2,1,88,89
泰国,TH,1950,1349,1650,1172,13555,14479
塔吉克斯坦,TJ,3,2,5,2,35,37
土库曼斯坦,TM,8,3,9,4,70,74
突尼斯,TN,8,14,3,7,147,149
汤加,TO,0,0,0,0,1,1
土耳其,TR,1009,953,649,658,8270,8509
特立尼达和多巴哥,TT,24,5,7,13,87,98
坦桑尼亚,TZ,21,28,19,18,116,132
乌克兰,UA,431,221,290,205,2424,2432
乌干达,UG,8,2,3,8,30,37
美国,US,65951,51288,45464,43124,406115,438403
乌拉圭,UY,52,47,39,45,300,344
乌兹别克斯坦,UZ,23,44,35,26,127,148
圣文森特和格林纳丁斯,VC,0,1,5,2,24,25
委内瑞拉,VE,36,75,41,30,363,379
英属维尔京群岛,VG,3915,2268,3811,2393,36471,36483
越南,VN,344,373,247,223,1996,2108
瓦努阿图,VU,2,0,4,0,101,99
萨摩亚,WS,41,193,32,45,2275,2240
也门,YE,209,183,149,128,559,685
南非,ZA,315,373,236,244,3105,3279
赞比亚,ZM,5,0,3,1,12,7
津巴布韦,ZW,8,8,1,10,18,26
其他,Others,60,39,19,21,440,124
