,,Invention,Invention,Invention,Utility Model,Utility Model,Utility Model
,,Sub-total,Domestic,Foreign,Sub-total,Domestic,Foreign
B32,Layered Products,,,,,,
B33,增材制造技术,7,7,0,0,0,0
B33,Additive Manufacturing Technology,,,,,,
B41,印刷；排版机；打字机；模印机,3116,2225,891,12063,12028,35
B41,Printing; Lining Machines; Typewriters; Stamps,,,,,,
B42,装订；图册；文件夹；特种印刷品,251,193,58,1984,1983,1
B42,Bookbinding; Albums; Files; Special Printed Matter,,,,,,
B43,书写或绘图器具；办公用品,269,241,28,1903,1898,5
B43,Writing Or Drawing Implements; Bureau Accessories,,,,,,
B44,装饰艺术,231,215,16,2374,2371,3
B44,Decorative Arts,,,,,,
B60,一般车辆,18306,12340,5966,35549,35236,313
B60,Vehicles In General,,,,,,
B61,铁路,2235,2122,113,3285,3281,4
B61,Railways,,,,,,
B62,无轨陆用车辆 B62B手动车辆，例如手推车或摇篮车；雪橇,5244,4030,1214,23033,22880,153
B62,Land Vehicles For Travelling Otherwise Than On Rails,,,,,,
B63,船舶或其他水上船只；与船有关的设备,2670,2579,91,5839,5829,10
B63,Ships Or Other Waterborne Vessels; Related Equipment,,,,,,
B64,飞行器；航空；宇宙航行,4362,3738,624,6391,6385,6
B64,Aircraft; Aviation; Cosmonautics,,,,,,
B65,输送；包装；贮存；搬运薄的或细丝状材料,19230,17842,1388,152920,152733,187
B65,Conveying; Packing; Storing; Handling Thin Or Filamentary Material,,,,,,
B66,卷扬；提升；牵引,5944,5287,657,30124,30106,18
B66,Hoisting; Lifting; Hauling,,,,,,
B67,开启或封闭瓶子、罐或类似的容器；液体的贮运,671,582,89,5349,5338,11
B67,"Opening Or Closing Bottles, Jars Or Similar Containers; Liquid Handling",,,,,,
B68,鞍具；家具罩面,17,16,1,131,131,0
B68,Saddlery; Upholstery,,,,,,
B81,微观结构技术,516,392,124,117,110,7
B81,Microstructural Technology,,,,,,
B82,超微技术,19,17,2,3,3,0
B82,Nanotechnology,,,,,,
C部 Section C,C部 Section C,121047,108764,12283,64719,64612,107
C01,无机化学,7618,7055,563,1525,1525,0
C01,Inorganic Chemistry,,,,,,
C02,水、废水、污水或污泥的处理,7892,7759,133,23243,23239,4
C02,"Treatment Of Water, Waste Water, Sewage, Or Sludge",,,,,,
C03,玻璃；矿棉或渣棉,2949,2477,472,3669,3655,14
C03,Glass; Mineral Or Slag Wool,,,,,,
C04,水泥；混凝土；人造石；陶瓷；耐火材料〔4〕,6751,6511,240,392,391,1
