,,2019年,2020年,2019年,2020年,2019年,2020年
厄瓜多尔,EC,49,63,34,17,189,200
爱沙尼亚,EE,95,147,114,91,570,660
埃及,EG,169,157,94,91,804,826
厄立特里亚,ER,0,0,0,0,2,2
西班牙,ES,3341,2723,2521,2055,23655,24172
埃塞俄比亚,ET,9,5,2,7,27,28
芬兰,FI,1833,1677,1771,1559,12349,13598
斐济,FJ,7,13,5,4,59,59
法国,FR,13779,10166,12764,8871,104677,109036
加蓬,GA,0,0,0,0,1,1
英国,GB,24422,23105,17893,18560,103057,117343
格林纳达,GD,18,3,7,0,9,7
格鲁吉亚,GE,39,29,25,28,187,211
根西岛,GG,11,6,4,4,94,76
加纳,GH,30,12,8,21,34,54
直布罗陀,GI,24,22,21,8,163,166
格陵兰,GL,0,4,0,0,1,1
冈比亚,GM,1,0,1,0,4,4
几内亚,GN,29,3,42,9,51,59
赤道几内亚,GQ,1,1,0,1,0,1
希腊,GR,302,155,231,139,1670,1668
危地马拉,GT,28,14,17,10,81,94
几内亚比绍,GW,1,0,0,1,0,1
圭亚那,GY,0,4,0,0,13,13
洪都拉斯,HN,7,5,0,3,6,9
克罗地亚,HR,54,26,29,17,477,456
海地,HT,0,5,0,1,31,32
匈牙利,HU,219,160,234,164,1423,1501
印度尼西亚,ID,893,690,871,632,4078,4481
爱尔兰,IE,946,839,633,657,4964,5558
以色列,IL,1060,844,826,621,4434,4811
马恩岛,IM,33,57,77,29,1331,1306
印度,IN,833,723,519,583,4174,4492
伊拉克,IQ,392,309,203,326,993,1271
伊朗,IR,234,211,212,132,1823,1840
冰岛,IS,107,55,89,62,708,741
意大利,IT,8370,7632,8168,5894,80463,82881
泽西岛,JE,102,20,34,31,360,355
牙买加,JM,4,7,0,2,71,62
约旦,JO,173,109,55,99,416,469
日本,JP,31191,29515,27022,23962,221866,236586
肯尼亚,KE,27,27,21,17,138,143
吉尔吉斯斯坦,KG,18,28,6,42,50,86
柬埔寨,KH,38,61,18,26,115,135
科摩罗,KM,1,0,0,0,0,0
圣基茨和尼维斯,KN,4,2,12,6,29,31
朝鲜,KP,55,44,31,24,144,168
韩国,KR,18650,17826,17154,14266,102830,113332
科威特,KW,36,33,14,21,334,281
开曼群岛,KY,3287,2131,5903,2177,32490,28376
哈萨克斯坦,KZ,203,160,154,203,669,798
老挝,LA,5,8,3,2,23,25
黎巴嫩,LB,83,64,41,51,518,508
圣卢西亚,LC,6,0,0,2,15,14
列支敦士登,LI,227,159,211,175,3000,3040
斯里兰卡,LK,75,59,25,50,263,296
利比里亚,LR,1,8,12,4,25,29
立陶宛,LT,289,138,194,154,535,680
卢森堡,LU,982,631,880,626,9777,9350
拉脱维亚,LV,56,104,51,39,434,443
利比亚,LY,47,34,20,34,85,115
摩洛哥,MA,142,61,115,61,638,683
摩纳哥,MC,284,259,298,154,1960,1984
摩尔多瓦,MD,81,47,68,35,239,262
黑山,ME,12,2,15,0,36,35
马达加斯加,MG,2,3,1,3,36,40
马绍尔群岛,MH,89,85,84,58,899,907
北马其顿,MK,17,13,33,11,100,104
马里,ML,14,17,15,11,125,89
缅甸,MM,97,177,71,69,336,395
蒙古,MN,31,21,28,21,143,148
北马里亚纳群岛,MP,8,2,0,1,2,3
毛里塔尼亚,MR,1,2,6,0,22,20
蒙塞拉特岛,MS,0,0,0,0,2,2
马耳他,MT,108,112,139,60,1258,1260
毛里求斯,MU,38,157,55,25,718,621
马尔代夫,MV,6,6,4,5,8,13
马拉维,MW,0,3,0,1,7,7
墨西哥,MX,574,419,436,406,4701,4760
马来西亚,MY,2295,1888,1721,1572,10671,11484
莫桑比克,MZ,3,16,1,1,27,26
纳米比亚,,1,1,0,1,59,60
尼日尔,NE,3,0,2,1,12,11
尼日利亚,NG,63,64,32,47,283,281
尼加拉瓜,NI,5,0,2,3,6,9
荷兰,NL,4240,4215,3724,2905,33588,35084
挪威,NO,829,691,1042,518,5087,5406
尼泊尔,NP,23,10,30,10,83,86
瑙鲁,NR,0,0,0,0,4,4
新西兰,NZ,2304,2127,1969,1762,10517,11872
阿曼,OM,25,42,13,18,163,179
巴拿马,PA,110,147,57,78,724,690
秘鲁,PE,98,91,61,47,373,394
波利尼西亚,PF,1,0,0,0,13,9
巴布亚新几内亚,PG,1,1,2,0,41,41
菲律宾,PH,177,305,150,118,1350,1394
巴基斯坦,PK,146,108,144,94,708,717
波兰,PL,1213,1121,887,729,5317,5832
波多黎各,PR,23,21,16,8,81,86
巴勒斯坦,PS,8,9,9,2,25,20
葡萄牙,PT,344,329,336,248,2892,3033
帕劳,PW,8,0,0,0,21,20
巴拉圭,PY,12,7,11,8,58,57
卡塔尔,QA,67,39,41,25,343,349
罗马尼亚,RO,147,109,104,100,786,806
塞尔维亚,RS,89,80,133,40,358,379
俄罗斯,RU,2852,2341,4237,2410,18518,19680
卢旺达,RW,1,2,0,1,4,5
沙特阿拉伯,SA,149,145,104,89,1075,1056
所罗门群岛,SB,0,0,0,0,2,2
塞舌尔,SC,908,765,1014,680,3985,4539
苏丹,SD,52,16,9,36,86,121
瑞典,SE,2604,2627,2677,2114,19106,20589
新加坡,SG,5555,5103,4133,3867,28148,31126
斯洛文尼亚,SI,253,202,251,110,1320,1401
斯洛伐克,SK,141,101,148,67,1057,1068
塞拉利昂,SL,0,0,3,0,14,14
圣马力诺,SM,31,23,26,14,230,214
塞内加尔,SN,3,19,19,9,49,58
索马里,SO,3,3,1,3,1,4
苏里南,SR,0,1,0,0,1,1
南苏丹,SS,0,1,0,0,0,0
萨尔瓦多,SV,15,6,3,3,13,16
荷属圣马丁,SX,0,0,0,0,3,3
叙利亚,SY,116,106,76,57,438,438
特克斯和凯科斯群岛,TC,4,4,6,1,51,52
乍得,TD,2,2,1,1,21,16
多哥,TG,50,4,0,49,46,91
泰国,TH,3122,2369,2289,1919,10359,12006
塔吉克斯坦,TJ,3,8,7,7,28,33
土库曼斯坦,TM,6,11,8,5,56,61
突尼斯,TN,19,9,16,7,146,145
汤加,TO,1,0,0,1,0,1
土耳其,TR,873,812,916,608,7741,7870
特立尼达和多巴哥,TT,2,13,0,0,82,81
坦桑尼亚,TZ,18,12,11,11,93,100
乌克兰,UA,435,410,414,347,2067,2284
乌干达,UG,6,13,4,5,20,25
美国,US,53612,50882,45494,38764,346979,370733
乌拉圭,UY,73,73,50,57,222,274
乌兹别克斯坦,UZ,19,38,19,19,86,96
圣文森特和格林纳丁斯,VC,0,6,0,4,15,16
委内瑞拉,VE,30,52,34,31,330,349
英属维尔京群岛,VG,3874,4381,4331,2807,35747,35162
越南,VN,488,345,313,254,1723,1792
瓦努阿图,VU,8,1,32,4,96,99
萨摩亚,WS,100,28,472,80,2688,2510
也门,YE,179,208,82,101,310,404
南非,ZA,389,293,293,262,2917,2961
赞比亚,ZM,1,3,0,2,7,9
津巴布韦,ZW,0,0,7,0,17,17
其他,Other,2,5,3,4,400,423
